"Start diffusion","End diffusion","Period","Packets number","Debit","Distance"
"1","2.953125","1.953125","12","6.144","29.174681"
"1","2.953125","1.953125","12","6.144","9.801596"
"1","2.953125","1.953125","12","6.144","14"
"1","2.953125","1.953125","12","6.144","8.75"
"1","2.953125","1.953125","12","6.144","16.208015"
"1","244.35","243.35","5761","23.673720978015","8.5"
"1","2.953125","1.953125","12","6.144","20.021765"
"1","2.7140058765916","1.7140058765916","14","8.168","12.5"
"1","2.7140058765916","1.7140058765916","14","8.168","23.861203"
"1","2.7140058765916","1.7140058765916","14","8.168","8.456489"
"1","2.7140058765916","1.7140058765916","14","8.168","7.243732"
"1","2.7140058765916","1.7140058765916","14","8.168","1.778454"
"1","2.7140058765916","1.7140058765916","14","8.168","4.762904"
"1","2.7140058765916","1.7140058765916","14","8.168","28.763237"
"1","2.7140058765916","1.7140058765916","14","8.168","12.116773"
"1","4.0691964285714","3.0691964285714","11","3.584","9.371549"
"1","4.0691964285714","3.0691964285714","11","3.584","14.54223"
"1","4.0691964285714","3.0691964285714","11","3.584","24"
"1","4.0691964285714","3.0691964285714","11","3.584","6.826639"
"1","2.77285319","1.77285319","16","9.025","7.211262"
"1","2.7728531855956","1.7728531855956","16","9.025","18.143672"
"1","2.7728531855956","1.7728531855956","16","9.025","9.0143"
"1","2.7728531855956","1.7728531855956","16","9.025","9.138409"
"1","2.7728531855956","1.7728531855956","16","9.025","4"
"1","2.7728531855956","1.7728531855956","16","9.025","18.443889"
"1","2.7728531855956","1.7728531855956","16","9.025","15.992221"
"1","2.7728531855956","1.7728531855956","16","9.025","4.51917"
"1","2.7728531855956","1.7728531855956","16","9.025","19.192099"
"1","5","4","27","6.75","28.124111"
"1","5","4","27","6.75","6.76099"
"1","5","4","27","6.75","24"
"1","10","9","83","9.2222222222222","12.700123"
"1","10","9","83","9.2222222222222","16.221132"
"1","10","9","83","9.2222222222222","4.551288"
"1","10","9","83","9.2222222222222","23.012112"
"1","10","9","83","9.2222222222222","12.221123"
"1","4","3","22","7.3333333333333","1.564432"
"1","4","3","22","7.3333333333333","10.663421"
"1","4","3","22","7.3333333333333","28.324732"
"1","4","3","22","7.3333333333333","3.254685"
"1","4","3","22","7.3333333333333","27.698709"
"1","4","3","22","7.3333333333333","25.320765"
"1","4","3","22","7.3333333333333","12.982309"
"1","3","2","14","7","12.865315"
"1","3","2","14","7","13.831822"
"1","3","2","14","7","2.296781"
"1","6","5","42","8.4","28.973213"
"1","6","5","42","8.4","9.954548"
"1","6","5","42","8.4","1.553948"
"1","5.4191919191919","4.4191919191919","42","9.504","4.655627"
"1","5.4191919191919","4.4191919191919","42","9.504","12.347997"
"1","5.4191919191919","4.4191919191919","42","9.504","21.439128"
"1","5.4191919191919","4.4191919191919","42","9.504","2.176526"
"1","5.4191919191919","4.4191919191919","42","9.504","4.123071"
"2","10.928571428571","8.9285714285714","25","2.8","27.325599"
"2","10.928571428571","8.9285714285714","25","2.8","10.211198"
"2","10.928571428571","8.9285714285714","25","2.8","3.098815"
"2","10.928571428571","8.9285714285714","25","2.8","7.754388"
"2","10.928571428571","8.9285714285714","25","2.8","16.433316"
"2","10.928571428571","8.9285714285714","25","2.8","1.884411"
"2","285.975","283.975","5796","20.410247380931","13.5"
"2","5.2775768535262","3.2775768535262","29","8.848","18.187647"
"2","5.2775768535262","3.2775768535262","29","8.848","4.771613"
"2","5.2775768535262","3.2775768535262","29","8.848","2.965821"
"2","5.9125200642055","3.9125200642055","39","9.968","5.333401"
"2","5.9125200642055","3.9125200642055","39","9.968","9.920109"
"2","5.9125200642055","3.9125200642055","39","9.968","10.006019"
"2","5.9125200642055","3.9125200642055","39","9.968","11.157734"
"3","7.26944971537","4.26944971537","36","8.432","12.484433"
"3","330.334","327.334","2453","7.4938747578926","18.4926"
"3","373.693","370.693","5818","15.69492814809","12.5"
"3","7.26944971537","4.26944971537","36","8.432","11.833081"
"3","6.9125200642055","3.9125200642055","39","9.968","12.032619"
"3","6.9125200642055","3.9125200642055","39","9.968","14.934048"
"3","6.9125200642055","3.9125200642055","39","9.968","3.5207493"
"4","8.0186125211506","4.0186125211506","38","9.456","15.070196"
"4","8.0186125211506","4.0186125211506","38","9.456","16"
"4","8.0186125211506","4.0186125211506","38","9.456","17.783755"
"4","8.0186125211506","4.0186125211506","38","9.456","22.99754"
"4","8.0186125211506","4.0186125211506","38","9.456","4.476"
"4","8.0186125211506","4.0186125211506","38","9.456","10.5"
"4","8.0186125211506","4.0186125211506","38","9.456","1.785298"
"4","418.052","414.052","5658","13.664950296098","22.2"
"4","20.129032258065","16.129032258065","40","2.48","18.880275"
"4","20.129032258065","16.129032258065","40","2.48","5.280796"
"4","20.129032258065","16.129032258065","40","2.48","23.075401"
"4","20.129032258065","16.129032258065","40","2.48","4.539314"
"4","20.129032258065","16.129032258065","40","2.48","11.75"
"5","9.1368515205724","4.1368515205725","37","8.944","3.7878"
"5","448.359","443.359","7500","16.916313867543","13.984503"
"5","9.1368515205724","4.1368515205725","37","8.944","13.837156"
"5","9.1368515205724","4.1368515205725","37","8.944","27.388877"
"5","9.1368515205724","4.1368515205725","37","8.944","18.002226"
"5","9.1368515205724","4.1368515205725","37","8.944","24.334443"
"5","21.535433070866","16.535433070866","42","2.54","26.848942"
"5","21.535433070866","16.535433070866","42","2.54","21.999076"
"5","21.535433070866","16.535433070866","42","2.54","27.757065"
"5","21.535433070866","16.535433070866","42","2.54","4"
"5","21.535433070866","16.535433070866","42","2.54","6.248548"
"5","21.535433070866","16.535433070866","42","2.54","29.279324"
